config	fork	openmp	posix
500x1	578747	165231	577243
500x2	292599	89175,7	298032
500x4	156744	49405,5	158697
500x8	156752	49438,5	154133
500x16	157122	48098,2	150363
1000x1	5,347e+06	1,84269e+06	5,32702e+06
1000x2	2,5361e+06	946214	2,55381e+06
1000x4	1,16693e+06	483623	1,16669e+06
1000x8	1,17256e+06	468183	1,14309e+06
1000x16	1,18966e+06	458066	1,12621e+06
2000x1	6,13183e+07	5,03698e+07	6,20148e+07
2000x2	29517176	2,33158e+07	29582691
2000x4	1,38132e+07	1,03877e+07	1,31337e+07
2000x8	1,32352e+07	1,05943e+07	1,22925e+07
2000x16	1,48162e+07	1,11758e+07	1,36768e+07
